date,sales_units,sales_revenue,marketing_spend,marketing_clicks,marketing_conversions,stockout_hours,inventory_units_sold,closing_stock,marketing_conversion_rate
2026-01-01,1598,3435615.88,138847.66,543371,37564,0,2164,54750,0.06913140377384881
2026-01-02,1592,3417198.34,138066.7,449884,35718,0,2200,54329,0.07939379929048376
2026-01-03,1615,3464343.92,152197.52,651389,52068,0,2162,53958,0.07993380299636622
2026-01-04,1651,3556417.61,154805.92,560144,41556,0,2254,53499,0.07418806592590477
2026-01-05,1516,3073035.26,142432.59,520299,41007,0,2165,53149,0.07881429716374623
2026-01-06,1531,3300599.0,147182.32,597056,44236,0,2126,52790,0.07409020259406153
2026-01-07,1560,3290918.96,140072.79,523081,38485,0,2191,52405,0.07357369126387692
2026-01-08,1554,3315420.2600000002,134790.48,496658,36241,0,2152,52011,0.07296972967313524
2026-01-09,1594,3363822.9,139617.48,562080,41324,0,2212,51626,0.07351978366068887
2026-01-10,1636,3509781.72,156055.46,513202,36121,0,2111,51401,0.07038359164617441
2026-01-11,1625,3486191.82,152527.5,588052,41189,0,2118,51095,0.07004312543788645
2026-01-12,1562,3336156.75,144948.22,587827,42688,0,2185,50734,0.07262000554584938
2026-01-13,1528,3185512.82,149082.68,594378,43863,0,2164,50381,0.07379647295155609
2026-01-14,1524,3279790.74,143846.23,526107,39503,0,2076,50089,0.07508548641245982
2026-01-15,1566,3223601.87,137350.31,529862,36239,0,2102,49767,0.06839327975963552
2026-01-16,1541,3397803.89,141723.67,558848,43912,0,2204,49376,0.07857592762253779
2026-01-17,1657,3460616.05,156303.82,598811,46898,0,2204,48938,0.07831853456265833
2026-01-18,1538,3253640.79,147159.21,567074,41789,0,2171,48605,0.07369232234241034
2026-01-19,1683,3584436.03,137939.45,575822,42528,0,2244,48238,0.0738561569373869
2026-01-20,1551,3248205.03,137047.6,578940,42664,0,2116,47878,0.07369330155111065
2026-01-21,1596,3423823.3,139984.85,516053,38556,0,2219,47434,0.07471325619655346
2026-01-22,1684,3573565.13,138306.22,609065,45541,0,2270,46967,0.07477198656957795
2026-01-23,1576,3382727.67,145883.83,546018,41258,0,2235,46524,0.07556161152196447
2026-01-24,1636,3439545.07,146358.43,592286,43297,0,2203,46095,0.07310150839290477
2026-01-25,1656,3508896.31,155947.96,594511,46958,0,2207,45794,0.0789859228845219
2026-01-26,1626,3509525.05,145548.2,587979,45319,0,2254,45300,0.07707588196177075
2026-01-27,1528,3238284.82,136462.84,505079,36875,0,2133,44939,0.07300838086715147
2026-01-28,1557,3348842.7800000003,138893.97,536008,40783,0,2114,44662,0.07608655094700079
2026-01-29,1602,3372645.05,143119.01,493109,37032,0,2186,44382,0.07509901461948575
2026-01-30,1607,3478404.9,137847.6,470753,36441,0,2194,43928,0.07741002181611163
