dimension,region,current_units,previous_units,unit_change,unit_change_pct,current_revenue,previous_revenue,revenue_change,revenue_change_pct,product_id,product_name,category,channel,date
category,,2245,2427,-182,-7.498969921714051,4513425.66,4729771.14,-216345.47999999952,-4.574121529271277,,,Electronics,,2026-06-30
channel,,3710,3848,-138,-3.5862785862785866,8875942.44,9005281.89,-129339.45000000112,-1.4362620912914155,,,,Retail,2026-06-30
region,South,2849,2960,-111,-3.75,6807999.77,6911774.59,-103774.8200000003,-1.5014207805639723,,,,,2026-06-30
region,West,2937,3042,-105,-3.451676528599606,6914111.58,7104055.55,-189943.96999999974,-2.6737399315521926,,,,,2026-06-30
category,,2305,2397,-92,-3.838130997079683,5700791.88,5936906.08,-236114.2000000002,-3.97705803019879,,,Home,,2026-06-30
channel,,2341,2416,-75,-3.104304635761589,5562394.06,5699766.11,-137372.05000000075,-2.410134860779414,,,,Marketplace,2026-06-30
product_id,,342,415,-73,-17.59036144578313,408231.28,497014.9,-88783.62,-17.8633719029349,P003,,,,2026-06-30
product_name,,342,415,-73,-17.59036144578313,408231.28,497014.9,-88783.62,-17.8633719029349,,Electronics Product 3,,,2026-06-30
region,North,2920,2985,-65,-2.1775544388609713,6977181.31,7151128.62,-173947.31000000052,-2.432445551510728,,,,,2026-06-30
product_id,,350,406,-56,-13.793103448275861,627232.79,735630.45,-108397.65999999992,-14.73534163791071,P012,,,,2026-06-30
product_name,,350,406,-56,-13.793103448275861,627232.79,735630.45,-108397.65999999992,-14.73534163791071,,Home Product 6,,,2026-06-30
product_id,,351,404,-53,-13.118811881188119,265997.26,307727.2,-41729.94,-13.560692717445841,P004,,,,2026-06-30
product_name,,351,404,-53,-13.118811881188119,265997.26,307727.2,-41729.94,-13.560692717445841,,Electronics Product 4,,,2026-06-30
product_id,,374,420,-46,-10.952380952380953,264550.3,294605.56,-30055.26000000001,-10.201864486196394,P030,,,,2026-06-30
product_name,,374,420,-46,-10.952380952380953,264550.3,294605.56,-30055.26000000001,-10.201864486196394,,Sports Product 6,,,2026-06-30
product_name,,361,398,-37,-9.296482412060302,1174322.39,1285101.28,-110778.89000000013,-8.620245868870361,,Home Product 5,,,2026-06-30
product_id,,361,398,-37,-9.296482412060302,1174322.39,1285101.28,-110778.89000000013,-8.620245868870361,P011,,,,2026-06-30
category,,2358,2395,-37,-1.544885177453027,6902040.66,6923921.41,-21880.75,-0.3160167296006325,,,Sports,,2026-06-30
product_id,,355,391,-36,-9.207161125319693,231175.51,254502.91,-23327.399999999994,-9.165867690864514,P022,,,,2026-06-30
product_name,,367,403,-36,-8.933002481389577,214649.48,239373.44,-24723.959999999992,-10.328614569770144,,Electronics Product 6,,,2026-06-30
product_name,,355,391,-36,-9.207161125319693,231175.51,254502.91,-23327.399999999994,-9.165867690864514,,Beauty Product 4,,,2026-06-30
product_id,,367,403,-36,-8.933002481389577,214649.48,239373.44,-24723.959999999992,-10.328614569770144,P006,,,,2026-06-30
product_name,,368,395,-27,-6.8354430379746836,607115.25,650185.93,-43070.68000000005,-6.624363587812497,,Beauty Product 5,,,2026-06-30
product_id,,368,395,-27,-6.8354430379746836,607115.25,650185.93,-43070.68000000005,-6.624363587812497,P023,,,,2026-06-30
product_name,,383,408,-25,-6.127450980392156,504486.85,537170.28,-32683.43000000005,-6.084370490489543,,Home Product 2,,,2026-06-30
product_name,,352,377,-25,-6.631299734748011,886092.93,947135.22,-61042.28999999992,-6.4449392981078155,,Fashion Product 1,,,2026-06-30
product_id,,352,377,-25,-6.631299734748011,886092.93,947135.22,-61042.28999999992,-6.4449392981078155,P013,,,,2026-06-30
product_id,,383,408,-25,-6.127450980392156,504486.85,537170.28,-32683.43000000005,-6.084370490489543,P008,,,,2026-06-30
product_id,,387,409,-22,-5.378973105134474,1826084.4,1922760.77,-96676.37000000011,-5.027997840833839,P027,,,,2026-06-30
product_name,,387,409,-22,-5.378973105134474,1826084.4,1922760.77,-96676.37000000011,-5.027997840833839,,Sports Product 3,,,2026-06-30
product_name,,376,395,-19,-4.810126582278481,1604961.67,1673174.16,-68212.48999999999,-4.076831427996712,,Home Product 1,,,2026-06-30
product_id,,376,395,-19,-4.810126582278481,1604961.67,1673174.16,-68212.48999999999,-4.076831427996712,P007,,,,2026-06-30
product_id,,399,411,-12,-2.9197080291970803,1508557.34,1543902.56,-35345.21999999997,-2.289342664215802,P002,,,,2026-06-30
