date,campaign_id,channel,campaign_type,region,impressions,clicks,spend,conversions
2026-01-01,C001,Search,Performance,North,1119423,39966,10350.7,2647
2026-01-01,C001,Search,Performance,South,1079892,31562,11166.54,2748
2026-01-01,C001,Search,Performance,East,843570,41726,11214.58,3474
2026-01-01,C001,Search,Performance,West,1328764,63964,12756.93,3707
2026-01-01,C002,Social,Performance,North,906370,39607,8275.53,2702
2026-01-01,C002,Social,Performance,South,676631,23228,8725.97,1579
2026-01-01,C002,Social,Performance,East,1078567,42243,9761.8,2525
2026-01-01,C002,Social,Performance,West,1067108,51032,10307.26,3952
2026-01-01,C003,Display,Awareness,North,621181,23496,6476.75,1316
2026-01-01,C003,Display,Awareness,South,602870,15640,7600.9,1258
2026-01-01,C003,Display,Awareness,East,730136,23713,6559.92,1693
2026-01-01,C003,Display,Awareness,West,560661,17864,5328.37,1037
2026-01-01,C004,Email,Retention,North,310423,15286,2767.0,1228
2026-01-01,C004,Email,Retention,South,313446,15393,2853.19,961
2026-01-01,C004,Email,Retention,East,325032,16863,3029.27,1141
2026-01-01,C004,Email,Retention,West,262434,8355,3305.13,602
2026-01-01,C005,Affiliate,Performance,North,348932,14069,4635.25,1008
2026-01-01,C005,Affiliate,Performance,South,387463,11079,4619.02,758
2026-01-01,C005,Affiliate,Performance,East,423988,19541,4428.0,1358
2026-01-01,C005,Affiliate,Performance,West,533549,28744,4685.55,1870
2026-01-02,C001,Search,Performance,North,855720,22339,9904.9,1773
2026-01-02,C001,Search,Performance,South,1138263,30214,11968.23,1998
2026-01-02,C001,Search,Performance,East,951077,37742,11771.37,3563
2026-01-02,C001,Search,Performance,West,1047296,47300,12367.37,4042
2026-01-02,C002,Social,Performance,North,873864,38423,9740.84,3086
2026-01-02,C002,Social,Performance,South,792437,21957,8217.66,1941
2026-01-02,C002,Social,Performance,East,624638,26688,8151.25,2191
2026-01-02,C002,Social,Performance,West,643479,25972,8504.49,1663
2026-01-02,C003,Display,Awareness,North,599907,21957,5844.91,2030
2026-01-02,C003,Display,Awareness,South,548632,19329,6815.24,1150
2026-01-02,C003,Display,Awareness,East,759302,31629,7050.89,2409
2026-01-02,C003,Display,Awareness,West,486640,13525,5747.22,1229
2026-01-02,C004,Email,Retention,North,272678,9673,3078.99,812
2026-01-02,C004,Email,Retention,South,359704,18565,3243.96,1600
2026-01-02,C004,Email,Retention,East,228328,11863,2802.77,940
2026-01-02,C004,Email,Retention,West,231416,6489,3070.49,529
2026-01-02,C005,Affiliate,Performance,North,548151,17391,5423.03,1451
2026-01-02,C005,Affiliate,Performance,South,398653,13857,4718.36,1175
